model,split,accuracy,f1_macro,precision_macro,recall_macro,roc_auc_macro
Original GroupNorm,val,0.895,0.8948032854638215,0.8949344952038052,0.8948252282155709,0.982400303541611
Calibrated fixed-GN folded,val,0.874375,0.8745593396382408,0.8758354185172166,0.8741936063104175,0.9785578994732197
Original GroupNorm,test,0.8955,0.8957809881176602,0.8956461326528276,0.8961256953052522,0.9847976277076358
Calibrated fixed-GN folded,test,0.87,0.8707119469924258,0.87115438381743,0.8706531727748283,0.9784730271636028
